Feature,DT_Importance,RF_Importance,LogReg_Importance
age,0.6680122595618995,0.40386862475271285,2.127245655677218
avg_glucose_level,0.10699330857119543,0.19556980344982203,0.30135001227713365
bmi,0.06607557161900525,0.14118455412014072,0.03791753937472282
ever_married,0.0220049486691276,0.0687158008555745,1.1462176019617674
work_type,0.0534736622014484,0.06072786953550956,
smoking_status,0.021377189835376877,0.047292964825896504,
gender,0.03349769611941938,0.024304444041446972,
Residence_type,0.005572627113323828,0.02357867139038706,0.2790557110077492
hypertension,0.0063014664650499095,0.01760726987712276,0.2730860585845618
heart_disease,0.016691269844153943,0.017149997151386938,1.2695328782653081
gender_Female,,,0.5595703857508306
gender_Male,,,0.7774201279648049
gender_Other,,,0.006007667620656847
smoking_status_Unknown,,,0.5455334142872057
smoking_status_formerly smoked,,,0.32086591848167473
smoking_status_never smoked,,,0.30978164057078705
smoking_status_smokes,,,0.16681720799665425
work_type_Govt_job,,,1.052927191793309
work_type_Never_worked,,,0.018066919656976318
work_type_Private,,,0.5024951981846284
work_type_Self-employed,,,0.4585830518894709
work_type_children,,,0.31591621618117066
