Model,Condition,Fold,F1,Recall,Precision,ROC_AUC
Logistic Regression,No SMOTE,1,0.22413793103448276,0.8125,0.13,0.8349780701754386
Logistic Regression,No SMOTE,2,0.2222222222222222,0.8125,0.12871287128712872,0.7874634502923976
Logistic Regression,No SMOTE,3,0.23008849557522124,0.8125,0.13402061855670103,0.8625730994152048
Logistic Regression,No SMOTE,4,0.23636363636363636,0.8125,0.13829787234042554,0.8358918128654971
Logistic Regression,No SMOTE,5,0.19469026548672566,0.6875,0.1134020618556701,0.8167032163742691
Logistic Regression,No SMOTE,6,0.18604651162790697,0.75,0.10619469026548672,0.7622441520467836
Logistic Regression,No SMOTE,7,0.24347826086956523,0.875,0.1414141414141414,0.8759137426900585
Logistic Regression,No SMOTE,8,0.2222222222222222,0.8125,0.12871287128712872,0.8266129032258065
Logistic Regression,No SMOTE,9,0.24793388429752067,0.9375,0.14285714285714285,0.8819648093841642
Logistic Regression,No SMOTE,10,0.23853211009174313,0.8125,0.13978494623655913,0.876282991202346
MLP,No SMOTE,1,0.0,0.0,0.0,0.6186038011695906
MLP,No SMOTE,2,0.0,0.0,0.0,0.535453216374269
MLP,No SMOTE,3,0.0,0.0,0.0,0.6348684210526316
MLP,No SMOTE,4,0.0,0.0,0.0,0.6672149122807017
MLP,No SMOTE,5,0.0,0.0,0.0,0.607638888888889
MLP,No SMOTE,6,0.0,0.0,0.0,0.5398391812865497
MLP,No SMOTE,7,0.0,0.0,0.0,0.5416666666666667
MLP,No SMOTE,8,0.0,0.0,0.0,0.6942815249266863
MLP,No SMOTE,9,0.0,0.0,0.0,0.7032624633431085
MLP,No SMOTE,10,0.0,0.0,0.0,0.7648460410557184
Decision Tree,No SMOTE,1,0.125,0.125,0.125,0.54203216374269
Decision Tree,No SMOTE,2,0.11428571428571428,0.125,0.10526315789473684,0.5376461988304093
Decision Tree,No SMOTE,3,0.13793103448275862,0.125,0.15384615384615385,0.5464181286549706
Decision Tree,No SMOTE,4,0.0,0.0,0.0,0.4868421052631579
Decision Tree,No SMOTE,5,0.0,0.0,0.0,0.48538011695906436
Decision Tree,No SMOTE,6,0.0,0.0,0.0,0.4766081871345029
Decision Tree,No SMOTE,7,0.06666666666666667,0.0625,0.07142857142857142,0.5122441520467836
Decision Tree,No SMOTE,8,0.26666666666666666,0.25,0.2857142857142857,0.6103372434017595
Decision Tree,No SMOTE,9,0.06451612903225806,0.0625,0.06666666666666667,0.5107221407624635
Decision Tree,No SMOTE,10,0.125,0.125,0.125,0.5419721407624634
Random Forest,No SMOTE,1,0.0,0.0,0.0,0.8067434210526316
Random Forest,No SMOTE,2,0.0,0.0,0.0,0.7567616959064327
Random Forest,No SMOTE,3,0.0,0.0,0.0,0.841374269005848
Random Forest,No SMOTE,4,0.0,0.0,0.0,0.7917580409356725
Random Forest,No SMOTE,5,0.0,0.0,0.0,0.7948647660818713
Random Forest,No SMOTE,6,0.0,0.0,0.0,0.7182931286549707
Random Forest,No SMOTE,7,0.0,0.0,0.0,0.8105811403508771
Random Forest,No SMOTE,8,0.11764705882352941,0.0625,1.0,0.7980205278592376
Random Forest,No SMOTE,9,0.0,0.0,0.0,0.8340359237536656
Random Forest,No SMOTE,10,0.0,0.0,0.0,0.8629948680351907
