Model,Condition,F1,Recall,Precision,ROC-AUC
Voting (Top 3),Optimized,0.3684210526315789,0.375,0.3620689655172414,0.8463934096845489
Stacking Ensemble,Optimized,0.35233160621761656,0.6071428571428571,0.24817518248175183,0.8462176009644364
Calibrated Decision Tree,Optimized,0.33497536945812806,0.6071428571428571,0.23129251700680273,0.8299050632911392
Decision Tree,No SMOTE,0.3217391304347826,0.6607142857142857,0.21264367816091953,0.8138813542294555
Logistic Regression,With SMOTE,0.308300395256917,0.6964285714285714,0.19796954314720813,0.8464185252159937
Logistic Regression,No SMOTE,0.3065134099616858,0.7142857142857143,0.1951219512195122,0.8478501105083384
MLP,With SMOTE,0.2914572864321608,0.5178571428571429,0.20279720279720279,0.7924452481414506
Random Forest,No SMOTE,0.2906574394463668,0.75,0.18025751072961374,0.8461296966043801
Random Forest,With SMOTE,0.2802197802197802,0.9107142857142857,0.16558441558441558,0.8196076953988345
Gradient Boosting,With SMOTE,0.2802197802197802,0.9107142857142857,0.16558441558441558,0.8196076953988345
Decision Tree,With SMOTE,0.26455026455026454,0.8928571428571429,0.15527950310559005,0.7184046614426361
Gradient Boosting,No SMOTE,0.0,0.0,0.0,0.8352797870202935
MLP,No SMOTE,0.0,0.0,0.0,0.6664406268836649
