Model,Condition,Threshold,Val_F1,F1,Recall,Precision,ROC-AUC
Logistic Regression,No SMOTE,0.75,0.3050847457627119,0.3776223776223776,0.48214285714285715,0.3103448275862069,0.847448262005224
Stacking Ensemble,Optimized,0.15000000000000002,0.3010752688172043,0.3333333333333333,0.3392857142857143,0.3275862068965517,0.8469710669077758
Gradient Boosting,With SMOTE,0.25,0.29411764705882354,0.304635761589404,0.4107142857142857,0.24210526315789474,0.8106916817359856
Calibrated Logistic Regression,Optimized,0.1,0.2926829268292683,0.3673469387755102,0.48214285714285715,0.2967032967032967,0.8480008036970063
Decision Tree,With SMOTE,0.05,0.2619047619047619,0.09803921568627451,0.08928571428571429,0.10869565217391304,0.5158102270444043
Random Forest,With SMOTE,0.15000000000000002,0.2616822429906542,0.27102803738317754,0.5178571428571429,0.18354430379746836,0.7934247538677919
Voting (Top 3),Optimized,0.30000000000000004,0.25757575757575757,0.30666666666666664,0.4107142857142857,0.24468085106382978,0.827833031946956
Random Forest,No SMOTE,0.2,0.2571428571428571,0.16470588235294117,0.125,0.2413793103448276,0.7881756077958609
Logistic Regression,With SMOTE,0.6000000000000001,0.2564102564102564,0.21978021978021978,0.17857142857142858,0.2857142857142857,0.8196704842274463
Gradient Boosting,No SMOTE,0.1,0.2553191489361702,0.3287671232876712,0.42857142857142855,0.26666666666666666,0.8315375728350411
MLP,With SMOTE,0.45,0.20454545454545456,0.18018018018018017,0.17857142857142858,0.18181818181818182,0.7757434197307616
Decision Tree,No SMOTE,0.05,0.17142857142857143,0.1111111111111111,0.08928571428571429,0.14705882352941177,0.5242490456098051
MLP,No SMOTE,0.15000000000000002,0.1094224924012158,0.19161676646706588,0.5714285714285714,0.11510791366906475,0.6491360257183042
